127.0.0.1 - - [07/Feb/2025:10:42:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:42:26 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:42:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:43:24 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:43:38 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:43:43 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:54:11 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:55:46 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:57:57 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:57:59 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:58:00 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:58:00 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:59:33 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:59:35 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:10:59:40 +0530] "POST /SecondServletApp/test HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [07/Feb/2025:11:00:04 +0530] "GET /SecondServletApp/login.html HTTP/1.1" 200 511
