127.0.0.1 - - [02/Apr/2025:10:00:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:00:04 +0530] "GET /JSTLApp-01/index.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:00:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:07:15 +0530] "GET /JSTLApp-01/index.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:07:27 +0530] "GET /JSTLApp-01/index.jsp?user=gaurav&password=rahul HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:07:40 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&password=rahul HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:08:14 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&UserAge=26&userHeight=5ft6inch HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:08:41 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&UserAge=26&userHeight=5ft6inch HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:09:08 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&UserAge=26&userHeight=5ft6inch HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:09:15 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&UserAge=26&userHeight=5ft6inch HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [02/Apr/2025:10:09:32 +0530] "GET /JSTLApp-01/index.jsp?userName=gaurav&UserAge=26&userHeight=5ft6inch HTTP/1.1" 200 260
